addrs,urls,sizes,beds,baths,features,prices
"Block G, Bashundhara R/A",/en/ad/new-2000-sft-apartment-bashundhara-g-block-for-rent-dhaka,2000,3,4,Semi-Furnished,37000
"Elephant Road, Near Bata Signal, Dhanmondi, Dhaka-1205",/en/ad/flat-for-rent-at-elephant-road-with-wifi-for-rent-dhaka-1,800,2,1,Not Furnished,15000
"49 Chankharpul Lane,Nazimuddin road Dhaka-1100",/en/ad/rent-flat-in-chankharpul-lane-from-november-and-december-for-rent-dhaka,300,1,1,Full-Furnished,14000
"A4, Plot-36, Road No-3, Block-C, Banasree, Rampura, Dhaka",/en/ad/flat-for-rent-near-ideal-school-for-rent-dhaka,1362,3,2,Full-Furnished,30000
,/en/ad/2yy-tlaar-pichne-november-maase-phyaamili-phlyaatt-bhaarraa-deoyyaa-hbe-for-rent-dhaka,1250,3,2,-,17500
mirpur-2-barakmolla 60 fit- for rent.,/en/ad/2-bed-flat-for-rent-dhaka,750,2,2,Not Furnished,9500
,/en/ad/flat-rent-fully-south-view-with-out-titas-gas2-lift-generator-for-rent-dhaka,1300,3,3,Semi-Furnished,25000
,/en/ad/to-let-at-uttara-for-rent-dhaka,1550,3,3,Semi-Furnished,35000
Mirpur 11 Avenue 5 navana tower,/en/ad/mirpur-11-flat-rent-for-rent-dhaka,2300,3,4,Not Furnished,20000
Gulshan 2,/en/ad/fully-furnished-apartment-at-gulshan-2-with-swimming-pool-for-rent-dhaka,2300,3,4,Full-Furnished,160000
Gulshan 2,/en/ad/4000-sft-4-beds-exclusive-semi-furnished-apt-for-rent-dhaka,4000,4,4,Semi-Furnished,250000
হুমায়ুন রোড মোহাম্মদ পুর,/en/ad/mohaammdpur-humaayyun-rodd-6-14-6-17-to-rent-dhaka,1600,3,3,-,35000
"12/5 Tolarbug,Mirpur-01, dhaka-1216",/en/ad/rent-for-family-bachelor-for-rent-dhaka,600,1,1,Not Furnished,8500
Gulshan North,/en/ad/exclusive-furnished-apartment-with-lake-view-for-rent-dhaka,4500,4,4,Full-Furnished,300000
"Charakghata, Tannery mor, Hazaribagh",/en/ad/baasaa-bhaarraa-for-rent-dhaka-140,950,2,2,Not Furnished,13000
Gulshan2,/en/ad/3200sft-new-full-furnished-nice-apartment-4bed-4bath-for-rent-dhaka,3200,4,4,Full-Furnished,150000
Gulshan Dhaka,/en/ad/4500sqft-5bedroom-swimming-gym-flat-rent-gulshan-for-rent-dhaka,4500,5,6,Not Furnished,250000
Middle Gulshan Dhaka 1212,/en/ad/2-beds-full-furnished-apartment-for-rent-for-rent-dhaka,1600,2,3,Full-Furnished,45000
"3rd Floor, 52/A, Road #12 PC Culture Housing, Sheikhertek, Adabar, Dhaka",/en/ad/2-bedroom-flat-for-rent-2-rumer-phlyaatt-bhaarraa-for-rent-dhaka,750,2,2,Not Furnished,14000
Gulshan,/en/ad/2200-sft-3-beds-new-apt-furniture-for-rent-dhaka,2200,3,3,Full-Furnished,90000
21/1 Nayapaltan dhaka 1000,/en/ad/to-let-for-rent-dhaka-1824,450,1,1,Not Furnished,12000
GULSHAN 1 SOUTH SIDE,/en/ad/office-space-for-rent-for-rent-dhaka-544,2000,3,4,Not Furnished,55000
Gulshan 2 ( North),/en/ad/2450-sft-brand-new-apartment-with-gym-swimming-pool-for-rent-dhaka,2450,3,3,Not Furnished,120000
Gulshan 2 North,/en/ad/lake-view-apartment-4500-sqft-4-bedroom-gulshan-rent-for-rent-dhaka,4500,4,5,Semi-Furnished,250000
"21/1, Nayapaltan dhaka 1000",/en/ad/to-let-for-rent-dhaka-1823,440,1,1,Not Furnished,12000
Baridhara Diplomatic Zone,/en/ad/luxurious-5200-sqft-4-bedroom-apartment-rent-baridhara-diplomatic-zone-for-rent-dhaka,5200,4,5,Semi-Furnished,350000
Gulshan 2,/en/ad/4500-sft-brand-new-exclusive-apartment-rent-gym-swimming-pool-for-rent-dhaka,4500,4,5,Not Furnished,250000
"House 9, Avenue 1, Block B, Mirpur 10",/en/ad/flat-to-let-mirpur-10-for-rent-dhaka-1,1550,3,4,Not Furnished,16000
"Block G, Bashundhara R/A",/en/ad/new-2000-sft-apartment-bashundhara-g-block-for-rent-dhaka,2000,3,4,Semi-Furnished,37000
Gulshan 2,/en/ad/apartment-rent-gulshan-2-for-rent-dhaka-222,1850,3,3,Semi-Furnished,40000
Dhanmondi,/en/ad/apartment-rent-dhanmondi-for-rent-dhaka-1,2281,3,3,Not Furnished,50000
Gulshan 2,/en/ad/furnished-apartment-rent-gulshan-2-for-rent-dhaka-4,5500,4,5,Full-Furnished,250000
"কাদেরাবাদ হাউজিং, কাটাশুর , মোহাম্মদপুর",/en/ad/mohaammdpure-900-skyyaar-phutter-ektti-phlyaatt-bhaarraa-hbe-for-rent-dhaka-1,900,2,2,Not Furnished,19000
Gulshan north,/en/ad/semi-furnished-flat-for-rent-for-rent-dhaka-51,2600,3,4,Semi-Furnished,850000
Gulshan north,/en/ad/full-furnished-flat-for-rent-for-rent-dhaka-117,4200,4,4,Full-Furnished,270000
"Navana Probani Ridgedale (Navana Tower), Avenue-5, Block-F, Section-11, Mirpur, Dhaka.",/en/ad/navana-apartment-for-rent-for-rent-dhaka-1,2280,3,4,"Semi-Furnished, Not Furnished",22000
