area,sizes,beds,baths,prices
108,2000,3,4,37000
112,800,2,1,15000
110,300,1,1,14000
125,1362,3,2,30000
122,1250,3,2,17500
130,750,2,2,9500
100,1300,3,3,25000
124,1550,3,3,35000
134,2300,3,4,20000
131,2300,3,4,160000
134,4000,4,4,250000
107,1600,3,3,35000
123,600,1,1,8500
105,4500,4,4,300000
133,950,2,2,13000
110,3200,4,4,150000
112,4500,5,6,250000
124,1600,2,3,45000
134,750,2,2,14000
132,2200,3,3,90000
113,450,1,1,12000
104,2000,3,4,55000
116,2450,3,3,120000
113,4500,4,5,250000
106,440,1,1,12000
130,5200,4,5,350000
133,4500,4,5,250000
100,1550,3,4,16000
125,2000,3,4,37000
112,1850,3,3,40000
100,2281,3,3,50000
107,5500,4,5,250000
132,900,2,2,19000
116,2600,3,4,850000
133,4200,4,4,270000
123,2280,3,4,22000
112,1850,3,4,50000
101,2300,3,4,75000
121,3800,3,4,150000
129,2800,3,3,120000
104,2500,3,4,140000
121,3500,3,4,250000
121,2700,3,4,90000
104,1535,3,3,21000
134,2500,3,3,82000
121,2600,4,5,80000
119,1940,3,4,55000
114,4300,4,4,300000
132,700,2,2,9000
106,1300,4,3,30000
123,1000,2,2,14500
134,4000,4,4,170000
106,2750,3,4,120000
131,4225,4,5,250000
100,1550,3,4,16000
132,650,2,1,12000
105,3700,3,4,165000
130,2545,3,4,90000
111,850,2,2,13000
107,1539,3,3,26000
114,950,2,2,13000
113,1100,3,3,20000
105,800,2,1,10000
107,950,2,2,15000
131,2400,5,4,75000
103,3000,4,4,90000
132,1500,3,3,60000
103,5550,4,5,250000
131,5500,4,5,250000
111,1700,3,4,42000
130,3445,4,6,160000
119,3000,4,5,90000
117,2850,4,5,80000
130,2200,3,4,80000
127,2355,3,4,65000
123,2445,3,4,100000
105,1800,3,3,40000
101,950,2,2,9000
123,1000,3,2,28000
100,1800,3,3,70000
128,1350,3,3,18000
132,2700,4,5,70000
127,650,2,1,12000
126,3300,4,5,140000
119,3100,4,4,160000
126,4500,4,5,240000
105,2250,3,4,75000
129,2600,4,4,85000
121,3000,3,3,25000
113,1300,3,2,12000
132,1365,3,3,24000
100,1595,3,3,45000
126,2800,4,4,100000
120,3500,4,4,250000
127,3500,4,4,160000
107,2600,3,4,60000
103,1200,3,3,22000
130,900,2,2,13500
126,2250,3,4,50000
125,2000,3,3,50000
100,650,2,2,11000
109,3400,4,5,85000
132,2500,3,3,150000
115,3600,4,4,165000
121,1500,3,3,22000
125,2350,3,4,55000
107,2600,3,4,60000
129,2280,3,3,50000
129,1550,3,4,16000
116,2700,4,5,70000
123,3900,3,4,250000
115,700,2,1,8500
108,3860,3,4,200000
134,3500,4,4,150000
100,4000,4,4,280000
124,4800,4,5,260000
106,3000,3,4,150000
134,2000,3,4,60000
113,1200,3,3,17000
134,3800,3,4,200000
119,1500,2,2,60000
129,2050,3,3,60000
131,3000,4,4,80000
106,2700,3,4,125000
103,2500,3,4,50000
126,2500,3,4,75000
127,1600,3,4,35000
124,2300,3,3,140000
117,2450,3,4,80000
103,850,2,2,8000
123,1600,3,3,45000
110,2050,3,4,65000
117,650,2,1,6500
110,2100,4,4,32000
106,3400,3,4,150000
105,1550,3,4,16000
102,1200,2,2,16000
105,2280,3,3,80000
103,2275,3,3,60000
131,2200,3,3,65000
110,3350,3,4,130000
121,2175,3,3,119000
129,2445,3,4,85000
134,2400,3,4,55000
107,2700,3,4,80000
108,2800,3,4,95000
125,2200,3,3,120000
122,2200,3,4,50000
102,2800,3,4,120000
134,3000,4,5,180000
100,1400,2,2,40000
104,2400,3,4,110000
118,2400,3,4,80000
110,2240,3,4,50000
115,2555,4,4,60000
117,1650,3,3,28000
132,2400,3,4,90000
101,2400,3,4,85000
110,2400,3,4,95000
120,2400,3,4,120000
117,2600,3,4,130000
116,2600,3,4,170000
107,900,2,2,13000
103,650,2,1,12000
115,2800,3,4,140000
124,700,2,2,6000
113,2600,3,4,150000
103,2600,3,4,130000
120,3000,3,4,120000
120,2600,3,4,90000
106,2400,3,4,60000
117,2600,3,4,70000
131,2800,3,4,170000
119,2600,3,4,180000
111,2600,3,4,210000
113,3800,4,5,310000
119,3000,3,4,320000
101,1600,3,4,30000
131,2900,4,4,70000
118,2300,3,3,50000
127,2800,3,4,150000
120,3000,3,4,150000
117,2350,4,5,60000
125,3500,4,4,150000
108,4200,4,4,280000
120,2600,3,3,130000
122,2400,3,3,80000
119,1950,3,4,40000
117,3500,4,4,230000
114,800,2,1,15000
105,2000,3,4,37000
100,2500,3,3,75000
130,1000,2,2,17000
109,2475,4,4,50000
101,950,2,2,21000
129,2250,3,4,34000
121,2100,3,3,70000
133,1100,2,2,24000
125,450,2,1,10000
110,2200,3,4,70000
128,1260,3,3,25000
133,650,2,2,9000
119,2780,3,4,120000
100,2150,3,4,90000
118,4200,4,5,250000
121,3300,4,4,180000
134,2900,3,4,80000
122,5000,3,4,280000
106,900,2,2,17000
115,3150,3,4,150000
131,950,2,2,17500
105,1000,2,2,19000
110,1250,3,2,18000
111,1150,3,3,20000
121,2200,3,3,70000
101,1050,3,2,17000
109,1550,3,4,16000
132,900,2,2,13000
132,1600,3,3,25000
117,1000,3,2,16000
126,3850,3,4,220000
112,3250,4,4,150000
104,1150,3,3,20000
121,1000,3,3,14000
108,1100,3,3,16000
102,5040,4,4,290000
132,900,2,2,15000
123,1800,3,3,50000
128,600,1,1,7000
133,1850,3,3,42000
104,3500,4,5,250000
128,2250,3,3,65000
103,1800,3,3,55000
131,1860,3,3,65000
106,3200,4,5,125000
118,3350,4,5,86000
128,2200,3,3,36000
133,2500,3,3,160000
104,1206,3,3,15000
103,2200,3,4,70000
134,3200,5,4,120000
125,2100,3,4,70000
125,1950,3,4,53000
130,800,2,1,15000
102,900,2,2,13000
133,2630,3,3,75000
124,2635,3,4,90000
131,2700,3,4,65000
116,2455,3,3,95000
123,2445,3,3,90000
130,3400,4,5,250000
109,2278,3,3,50000
133,2277,3,3,50000
108,1145,3,3,17000
119,500,1,1,15000
101,1820,4,4,35000
110,1800,3,3,50000
106,875,2,2,11000
102,700,2,2,10000
110,3500,4,4,200000
112,2800,3,4,150000
118,2500,3,3,100000
108,1245,3,3,23000
131,3000,4,5,300000
114,2400,3,4,190000
112,2800,4,5,240000
